date,US2YIS,US5YIS,US10YIS
2020-05-08,-0.05,0.7,1.18
2020-05-11,0.02,0.77,1.24
2020-05-12,0.02,0.73,1.19
2020-05-13,-0.01,0.72,1.17
2020-05-14,0.02,0.73,1.16
2020-05-15,0.06,0.74,1.18
2020-05-18,0.19,0.85,1.26
2020-05-19,0.22,0.83,1.24
2020-05-20,0.26,0.85,1.27
2020-05-21,0.33,0.85,1.24
2020-05-22,0.32,0.85,1.24
2020-05-25,0.32,0.85,1.24
2020-05-26,0.37,0.89,1.28
2020-05-27,0.4,0.89,1.28
2020-05-28,0.46,0.95,1.32
2020-05-29,0.47,0.97,1.33
2020-06-01,0.48,0.95,1.33
2020-06-02,0.53,0.96,1.33
2020-06-03,0.6,1.0,1.36
2020-06-04,0.66,1.04,1.4
2020-06-05,0.77,1.12,1.45
2020-06-08,0.822,1.201,1.531
2020-06-09,0.86,1.13,1.42
2020-06-10,0.92,1.16,1.46
2020-06-11,0.89,1.1,1.39
2020-06-12,0.89,1.11,1.38
2020-06-15,0.92,1.15,1.41
2020-06-16,1.0,1.2,1.46
2020-06-17,1.0,1.17,1.42
2020-06-18,1.08,1.21,1.44
2020-06-19,1.09,1.22,1.45
2020-06-22,1.16,1.28,1.5
2020-06-23,1.19,1.29,1.52
2020-06-24,1.12,1.27,1.49
2020-06-25,1.19,1.31,1.52
2020-06-26,1.17,1.28,1.49
2020-06-29,1.18,1.3,1.49
2020-06-30,1.21,1.33,1.52
2020-07-01,1.22,1.35,1.54
2020-07-02,1.27,1.41,1.6
2020-07-03,1.27,1.39,1.58
2020-07-06,1.33,1.46,1.63
2020-07-07,1.31,1.45,1.61
2020-07-08,1.31,1.42,1.59
2020-07-09,1.27,1.4,1.56
2020-07-10,1.29,1.41,1.57
2020-07-13,1.3,1.42,1.58
2020-07-14,1.33,1.47,1.61
2020-07-15,1.34,1.44,1.58
2020-07-16,1.32,1.44,1.58
2020-07-17,1.36,1.5,1.63
2020-07-20,1.4,1.52,1.65
2020-07-21,1.44,1.57,1.67
2020-07-22,1.48,1.58,1.68
2020-07-23,1.46,1.54,1.65
2020-07-24,1.44,1.53,1.64
2020-07-27,1.44,1.54,1.65
2020-07-28,1.43,1.53,1.64
2020-07-29,1.45,1.56,1.67
2020-07-30,1.44,1.55,1.66
2020-07-31,1.47,1.58,1.68
2020-08-03,1.51,1.61,1.71
2020-08-04,1.51,1.61,1.69
2020-08-05,1.57,1.68,1.75
2020-08-06,1.58,1.69,1.76
2020-08-07,1.56,1.67,1.76
2020-08-10,1.54,1.65,1.74
2020-08-11,1.54,1.66,1.75
2020-08-12,1.64,1.72,1.79
2020-08-13,1.65,1.73,1.8
2020-08-14,1.61,1.67,1.76
2020-08-17,1.64,1.69,1.78
2020-08-18,1.65,1.72,1.81
2020-08-19,1.61,1.66,1.77
2020-08-20,1.59,1.64,1.74
2020-08-21,1.61,1.68,1.77
2020-08-24,1.66,1.73,1.82
2020-08-25,1.69,1.74,1.83
2020-08-26,1.73,1.78,1.86
2020-08-27,1.71,1.79,1.87
2020-08-28,1.75,1.8,1.89
2020-08-31,1.71,1.82,1.93
2020-09-01,1.69,1.79,1.91
2020-09-02,1.66,1.77,1.88
2020-09-03,1.59,1.7,1.84
2020-09-04,1.56,1.69,1.84
2020-09-07,1.58,1.72,1.86
2020-09-08,1.54,1.72,1.86
2020-09-09,1.56,1.73,1.88
2020-09-10,1.51,1.71,1.87
2020-09-11,1.56,1.71,1.87
2020-09-14,1.49,1.69,1.83
2020-09-15,1.52,1.7,1.85
2020-09-16,1.57,1.72,1.85
2020-09-17,1.57,1.71,1.84
2020-09-18,1.56,1.72,1.85
2020-09-21,1.46,1.63,1.78
2020-09-22,1.45,1.62,1.77
2020-09-23,1.45,1.6,1.75
2020-09-24,1.4,1.57,1.74
2020-09-25,1.36,1.55,1.73
2020-09-28,1.45,1.63,1.77
2020-09-29,1.46,1.66,1.8
2020-09-30,1.46,1.65,1.8
2020-10-01,1.46,1.65,1.81
2020-10-02,1.44,1.65,1.82
2020-10-05,1.5,1.71,1.87
2020-10-06,1.5,1.68,1.83
2020-10-07,1.52,1.73,1.88
2020-10-08,1.54,1.73,1.89
2020-10-09,1.58,1.74,1.9
2020-10-12,1.58,1.74,1.9
2020-10-13,1.5,1.69,1.87
2020-10-14,1.48,1.69,1.86
2020-10-15,1.48,1.68,1.86
2020-10-16,1.5,1.7,1.87
2020-10-19,1.5,1.7,1.88
2020-10-20,1.5,1.69,1.88
2020-10-21,1.5,1.72,1.9
2020-10-22,1.51,1.65,1.88
2020-10-23,1.49,1.72,1.91
2020-10-26,1.39,1.69,1.89
2020-10-27,1.46,1.68,1.87
2020-10-28,1.42,1.67,1.86
2020-10-29,1.34,1.65,1.87
2020-10-30,1.35,1.67,1.87
2020-11-02,1.36,1.67,1.88
2020-11-03,1.39,1.7,1.9
2020-11-04,1.34,1.62,1.81
2020-11-05,1.35,1.61,1.81
2020-11-06,1.33,1.62,1.81
2020-11-09,1.33,1.62,1.81
2020-11-10,1.33,1.62,1.81
2020-11-11,1.53,1.76,1.91
2020-11-12,1.48,1.72,1.87
2020-11-13,1.5,1.71,1.88
2020-11-16,1.46,1.7,1.88
2020-11-17,1.49,1.69,1.86
2020-11-18,1.46,1.68,1.86
2020-11-19,1.45,1.68,1.86
2020-11-20,1.44,1.68,1.85
2020-11-23,1.46,1.68,1.86
2020-11-24,1.53,1.71,1.89
2020-11-25,1.54,1.73,1.91
2020-11-26,1.54,1.73,1.91
2020-11-27,1.55,1.73,1.9
2020-11-30,1.55,1.74,1.93
2020-12-01,1.57,1.78,1.96
2020-12-02,1.62,1.82,2.0
2020-12-03,1.65,1.85,2.02
2020-12-04,1.68,1.88,2.05
2020-12-07,1.76,1.89,2.04
2020-12-08,1.71,1.89,2.04
2020-12-09,1.74,1.9,2.06
